iter	RMSE
0	4488.299646
1	4332.590175
2	4187.743639
3	4051.431901
4	3923.517212
5	3800.533592
6	3686.892281
7	3577.244387
8	3477.286386
9	3384.649542
10	3294.00938
11	3210.786158
12	3132.537489
13	3058.421468
14	2985.674797
15	2922.481154
16	2861.780513
17	2797.327948
18	2738.322244
19	2684.274239
20	2632.430502
21	2585.765553
22	2540.891483
23	2498.413171
24	2458.798073
25	2421.705675
26	2386.230286
27	2354.444124
28	2323.951679
29	2295.785765
30	2268.124599
31	2243.218983
32	2219.480462
33	2196.848677
34	2176.468749
35	2154.060453
36	2132.649531
37	2113.175232
38	2095.709003
39	2078.52424
40	2062.28008
41	2047.563474
42	2033.354115
43	2019.959675
44	2007.263685
45	1995.889354
46	1984.667542
47	1974.35099
48	1964.960087
49	1954.683839
50	1946.068516
51	1937.27209
52	1929.296764
53	1920.719486
54	1913.286872
55	1906.668186
56	1900.642632
57	1894.457139
58	1887.78944
59	1882.600132
60	1876.683791
61	1871.802731
62	1867.064143
63	1862.17987
64	1857.914025
65	1852.908877
66	1848.292654
67	1843.891423
68	1840.122153
69	1836.314428
70	1832.94595
71	1828.5046
72	1825.172687
73	1821.808666
74	1818.85383
75	1815.914879
76	1812.981341
77	1810.072431
78	1807.227278
79	1804.703645
80	1802.48652
81	1800.090031
82	1797.635484
83	1795.461074
84	1793.402043
85	1791.44781
86	1789.45981
87	1787.733739
88	1785.591004
89	1783.94611
90	1782.452353
91	1781.081931
92	1779.125892
93	1777.198192
94	1775.947438
95	1774.665432
96	1773.258575
97	1771.658768
98	1769.957199
99	1768.242313
100	1767.067967
101	1765.559532
102	1764.47532
103	1763.154659
104	1761.211865
105	1759.729954
106	1758.532421
107	1757.269638
108	1756.083978
109	1755.284889
110	1753.993951
111	1752.958743
112	1750.946345
113	1749.30718
114	1747.961085
115	1746.756864
116	1745.560132
117	1744.651481
118	1743.595494
119	1742.112194
120	1740.765191
121	1739.357991
122	1738.253704
123	1737.168409
124	1735.479884
125	1734.728162
126	1733.85683
127	1732.763395
128	1731.746968
129	1730.683795
130	1729.472337
131	1728.857067
132	1727.424461
133	1726.469788
134	1725.497777
135	1724.690758
136	1723.987891
137	1723.349225
138	1722.378446
139	1721.467805
140	1720.507281
141	1719.466221
142	1718.73523
143	1718.117326
144	1717.168951
145	1716.372673
146	1715.077271
147	1714.058801
148	1713.141938
149	1712.650475
150	1712.026546
151	1711.076456
152	1710.203313
153	1709.710224
154	1708.848067
155	1708.262058
156	1707.474884
157	1706.909526
158	1706.274015
159	1705.604714
160	1704.816535
161	1704.095209
162	1703.560097
163	1703.097657
164	1702.17499
165	1701.613517
166	1700.748418
167	1700.137398
168	1699.750956
169	1698.924679
170	1698.366767
171	1697.637101
172	1696.928515
173	1696.489351
174	1696.001162
175	1695.178798
176	1694.577163
177	1693.742479
178	1693.276082
179	1692.911951
180	1691.641402
181	1690.847236
182	1690.202509
183	1689.456766
184	1688.597625
185	1688.097886
186	1687.328401
187	1686.360898
188	1685.766308
189	1685.186147
190	1684.823491
191	1684.227051
192	1683.765341
193	1683.359111
194	1682.949001
195	1682.541949
196	1681.945618
197	1681.457522
198	1680.916158
199	1680.65221
200	1680.168182
201	1679.866569
202	1679.102407
203	1678.823912
204	1678.39725
205	1677.910615
206	1677.490334
207	1676.893206
208	1676.548057
209	1675.98501
210	1675.179932
211	1674.797331
212	1674.421167
213	1673.975327
214	1673.538143
215	1673.139943
216	1672.295005
217	1671.734355
218	1671.423822
219	1670.933291
220	1670.304211
221	1669.872516
222	1669.509173
223	1669.278757
224	1668.868244
225	1668.62401
226	1668.081091
227	1667.379174
228	1667.109637
229	1666.773088
230	1666.18089
231	1665.796179
232	1665.418806
233	1664.727864
234	1664.113711
235	1663.560252
236	1663.273828
237	1662.776975
238	1662.347429
239	1662.097238
240	1661.572168
241	1661.252485
242	1660.657024
243	1660.14434
244	1659.944236
245	1659.460819
246	1658.932906
247	1658.569369
248	1658.068103
249	1657.703904
250	1657.401201
251	1657.093134
252	1656.621358
253	1656.407553
254	1656.077336
255	1655.733932
256	1655.326554
257	1655.111488
258	1654.344704
259	1654.011476
260	1653.714983
261	1653.492371
262	1652.89499
263	1652.651646
264	1652.352192
265	1652.02219
266	1651.817761
267	1651.401218
268	1651.006864
269	1650.562055
270	1650.038489
271	1649.830434
272	1649.449671
273	1649.07375
274	1648.841858
275	1648.366038
276	1648.105768
277	1647.631897
278	1647.320231
279	1647.132165
280	1646.751786
281	1646.48629
282	1646.175335
283	1645.766063
284	1645.435797
285	1645.171113
286	1644.99631
287	1644.721174
288	1644.558691
289	1644.382283
290	1643.863124
291	1643.664452
292	1643.389484
293	1642.991263
294	1642.701436
295	1642.317499
296	1641.83911
297	1641.592087
298	1641.286008
299	1640.817826
