iter	Passed	Remaining
0	110	32957
1	170	25468
2	236	23412
3	291	21590
4	357	21083
5	423	20767
6	470	19706
7	529	19327
8	593	19177
9	655	18997
10	715	18800
11	780	18732
12	837	18498
13	882	18027
14	932	17724
15	975	17307
16	1019	16964
17	1067	16716
18	1110	16419
19	1157	16202
20	1193	15855
21	1233	15581
22	1271	15314
23	1303	14988
24	1351	14863
25	1391	14666
26	1434	14503
27	1473	14311
28	1510	14116
29	1550	13957
30	1593	13830
31	1630	13655
32	1669	13504
33	1720	13458
34	1759	13324
35	1795	13170
36	1841	13090
37	1875	12929
38	1914	12811
39	1958	12727
40	1990	12573
41	2021	12419
42	2054	12277
43	2089	12155
44	2122	12030
45	2164	11950
46	2206	11875
47	2249	11811
48	2288	11723
49	2320	11603
50	2369	11568
51	2408	11488
52	2453	11432
53	2493	11359
54	2531	11276
55	2577	11229
56	2613	11140
57	2651	11062
58	2675	10928
59	2716	10867
60	2748	10768
61	2780	10674
62	2813	10582
63	2847	10500
64	2891	10454
65	2929	10385
66	2958	10288
67	2993	10213
68	3026	10133
69	3063	10064
70	3105	10015
71	3136	9931
72	3170	9859
73	3202	9781
74	3251	9755
75	3297	9719
76	3342	9681
77	3373	9600
78	3411	9544
79	3442	9465
80	3483	9418
81	3516	9348
82	3544	9266
83	3589	9228
84	3619	9154
85	3654	9094
86	3687	9027
87	3721	8965
88	3762	8920
89	3793	8850
90	3833	8803
91	3875	8762
92	3925	8737
93	3975	8712
94	4100	8849
95	4182	8886
96	4238	8870
97	4309	8881
98	4375	8882
99	4422	8845
100	4480	8828
101	4513	8761
102	4548	8699
103	4580	8632
104	4617	8574
105	4651	8512
106	4697	8472
107	4733	8415
108	4780	8377
109	4822	8330
110	4860	8276
111	4902	8229
112	4937	8170
113	4970	8109
114	5011	8061
115	5057	8022
116	5100	7978
117	5143	7932
118	5191	7896
119	5222	7834
120	5277	7807
121	5316	7757
122	5352	7701
123	5395	7658
124	5427	7598
125	5466	7548
126	5518	7516
127	5557	7467
128	5590	7410
129	5630	7363
130	5677	7323
131	5708	7265
132	5741	7209
133	5777	7156
134	5807	7097
135	5839	7041
136	5879	6995
137	5917	6946
138	5960	6903
139	6004	6862
140	6039	6810
141	6080	6765
142	6129	6729
143	6174	6689
144	6214	6642
145	6257	6600
146	6291	6548
147	6325	6496
148	6363	6449
149	6402	6402
150	6446	6360
151	6489	6318
152	6533	6277
153	6564	6223
154	6611	6184
155	6651	6139
156	6691	6095
157	6728	6047
158	6769	6003
159	6854	5997
160	6901	5958
161	6938	5910
162	6995	5879
163	7041	5839
164	7087	5798
165	7126	5752
166	7168	5708
167	7209	5664
168	7253	5622
169	7304	5586
170	7343	5540
171	7386	5496
172	7426	5451
173	7464	5405
174	7507	5362
175	7543	5314
176	7583	5269
177	7622	5224
178	7669	5184
179	7706	5137
180	7737	5086
181	7774	5040
182	7810	4993
183	7839	4942
184	7870	4892
185	7903	4843
186	7943	4800
187	7978	4753
188	8024	4712
189	8068	4671
190	8114	4630
191	8160	4590
192	8196	4544
193	8230	4497
194	8266	4451
195	8304	4406
196	8341	4361
197	8372	4312
198	8406	4266
199	8441	4220
200	8478	4175
201	8520	4133
202	8561	4091
203	8607	4050
204	8647	4007
205	8685	3963
206	8730	3922
207	8774	3880
208	8809	3835
209	8843	3790
210	8879	3745
211	8926	3705
212	8967	3662
213	9007	3619
214	9043	3575
215	9075	3529
216	9112	3485
217	9148	3441
218	9175	3393
219	9204	3346
220	9234	3300
221	9265	3255
222	9304	3212
223	9337	3168
224	9374	3124
225	9411	3081
226	9446	3037
227	9483	2994
228	9533	2955
229	9570	2912
230	9600	2867
231	9634	2823
232	9673	2781
233	9707	2738
234	9741	2694
235	9779	2652
236	9815	2609
237	9855	2567
238	9890	2524
239	9931	2482
240	9967	2440
241	10002	2397
242	10031	2353
243	10056	2308
244	10095	2266
245	10140	2225
246	10176	2183
247	10221	2143
248	10261	2101
249	10294	2058
250	10326	2015
251	10370	1975
252	10401	1932
253	10444	1891
254	10479	1849
255	10516	1807
256	10555	1766
257	10601	1725
258	10642	1684
259	10684	1643
260	10726	1602
261	10760	1560
262	10793	1518
263	10830	1476
264	10863	1434
265	10898	1393
266	10932	1351
267	10965	1309
268	11004	1268
269	11036	1226
270	11079	1185
271	11113	1144
272	11143	1102
273	11179	1060
274	11209	1019
275	11238	977
276	11271	935
277	11308	894
278	11337	853
279	11363	811
280	11397	770
281	11429	729
282	11459	688
283	11492	647
284	11534	607
285	11567	566
286	11601	525
287	11637	484
288	11675	444
289	11713	403
290	11748	363
291	11788	322
292	11827	282
293	11858	242
294	11887	201
295	11918	161
296	11945	120
297	11977	80
298	12010	40
299	12040	0
